feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911188|Soda Dam|Arch|New Mexico|35|Sandoval|043|Jemez Springs|11/13/1980|08/31/2010||||354729N|1064111W|35.7914129|-106.6864246|||0.0|0.0
911190|Soham|Populated Place|New Mexico|35|San Miguel|047|San Jose|11/01/2023|11/01/2023||||352456N|1052939W|35.4155984|-105.4941797|||0.0|0.0
911191|Sol se Mete Canyon|Valley|New Mexico|35|Bernalillo|001|Tijeras|11/13/1980|01/30/2020||||350016N|1062530W|35.0043948|-106.4250132|345754N|1062421W|34.9650306|-106.4058635
911192|Sol se Mete Peak|Summit|New Mexico|35|Bernalillo|001|Mount Washington|11/13/1980|01/21/2020||||345819N|1062454W|34.9720557|-106.4148653|||0.0|0.0
911193|Sol se Mete Spring|Spring|New Mexico|35|Bernalillo|001|Mount Washington|11/13/1980|09/21/2018||||345836N|1062453W|34.9766846|-106.4146118|||0.0|0.0
911194|Soldier Creek|Stream|New Mexico|35|San Miguel|047|Honey Boy Ranch|11/13/1980|||||354221N|1053724W|35.705867|-105.6233497|354522N|1053554W|35.7561439|-105.5983496
911195|Soldier Hill|Summit|New Mexico|35|Grant|017|Moon Ranch|11/13/1980|01/21/2020||||331131N|1084947W|33.1920044|-108.8297726|||0.0|0.0
911196|Soldier Mountain|Summit|New Mexico|35|Lincoln|027|Nogal Peak|11/13/1980|04/17/2019||||332737N|1054502W|33.460404|-105.7505117|||0.0|0.0
911197|Soldier Spring|Spring|New Mexico|35|Eddy|015|El Paso Gap|11/13/1980|10/15/2018||||320319N|1044714W|32.055229|-104.7872096|||0.0|0.0
911198|Soldier Tank|Reservoir|New Mexico|35|Otero|035|Mescalero|11/13/1980|||||331048N|1054642W|33.1800846|-105.7783209|||0.0|0.0
